gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2
PRKCA,0.0021253275203362925,-4.334413862480202e-05,-0.0005950350876112953,0.001999371953104486,-0.00026575649224741836,Trajectory-2,0.0,69.0
PRND,0.00501779665018612,-0.002669146520665608,0.010709104910283289,-0.009486196656836731,0.0015672952591196999,Trajectory-2,0.0,280.0
PRRX1,-0.021664692349309473,-0.035167267588639306,0.0037377825773069135,0.008158889458876346,0.0005752188781670975,Trajectory-1,229.0,0.0
PRSS2,-0.0007700523654436989,0.00024148731844210352,0.00014132471919794687,-0.0008952703781504667,-0.0003067939169241872,Trajectory-1,112.0,0.0
PRSS23,0.004202880676323106,-0.0017364976424271376,0.006505603768261684,-0.0038344758348228527,3.25924970597748e-05,Trajectory-2,0.0,254.0
PTGIR,0.002223113605671829,-0.000281414808662181,0.0006291912148898059,0.0006059674070758965,-0.0001534939210286911,Trajectory-2,0.0,162.0
PTN,0.0006563918725469003,0.0005519559490596841,-0.0027092884954936034,0.0011206636130944923,0.0002618353532291835,Trajectory-2,0.0,2.0
PTPN3,0.0014567288206250425,-0.00017344435382925106,0.0008652532368049487,-0.0003486001844196257,0.0004612612577760466,Trajectory-2,0.0,185.0
PTPN7,0.0010133026199981069,0.00042862265609011857,-0.002214253545692714,0.0012853565202114439,-0.00028608695515480796,Trajectory-2,0.0,9.0
PTPRS,0.0016288726603503234,0.00016775905785369497,-0.0013584675838341693,0.0018306452142164645,-8.426457897367432e-06,Trajectory-2,0.0,31.0
PTPRZ1,-0.013464356114056913,0.0088180612998332,0.006869156358209432,0.0023669638429179404,0.0058266635753268965,Trajectory-1,200.0,0.0
PXYLP1,-0.0008841129121149768,0.0008691022382160584,-0.0032771458124294267,-0.0005149345618212838,0.0008215057603638162,Trajectory-1,18.0,0.0
PYGM,-0.00036051534095864863,0.0006494160511996701,-0.002670282625510355,-4.071510111271239e-05,0.00012642810428569978,Trajectory-1,22.0,0.0
RASL11B,-0.00782176554352201,-0.00022178952743673593,-0.0018066530527984636,-0.0034896912524806714,0.0014376296801811394,Trajectory-1,166.0,0.0
RBM39P1,-7.2397622676491366e-06,0.00029445286025002454,-0.00026073142224335453,-0.0005439631089511961,0.0006728643411001082,Trajectory-1,79.0,0.0
RETREG1,-0.008908080968145228,-0.007198478559277639,-0.0021868664161938793,-0.0019759696551512507,0.0027635265677878893,Trajectory-1,183.0,0.0
