gene,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2,Pseudoorder-3
Fst,0.0012589714988803654,-0.0008482007494261121,0.0011920067380853897,0.0049444092391256345,0.004759892777604412,Other,0.0,0.0,0.0
Fth1,0.0008652006048204682,-0.000710086859316735,0.0009517457919958764,0.0019746889964852477,2.0274099674155197e-05,Other,0.0,0.0,0.0
Gadd45g,0.000128318341550193,2.0173722983512767e-05,0.0003016102566508871,-0.002901590719644778,-0.0027517690049884734,Other,0.0,0.0,0.0
Gal,0.0011312408866892547,-0.000757960238966985,0.0009575285604810325,0.0019057664357000018,-0.0012735098679542945,Other,0.0,0.0,0.0
Gata1,-0.0675150819819164,-0.023322691223974058,5.840226965846704e-05,-0.00012982019384012318,-0.00043256877490018176,Trajectory-1,11.0,0.0,0.0
Gata2,-0.0001898300202701624,0.001028419351084476,0.00039677731840734065,-0.00469277160478033,-0.004090338717202578,Other,0.0,0.0,0.0
Gata5,0.0009155141243918157,-0.000644002660703627,-0.0014843162968577307,-0.001013427266843113,-0.0059563234887061,Other,0.0,0.0,0.0
Ghrl,-0.0028064767309321933,-0.0008475670598877905,-0.00042384587429675436,-0.004946345733290729,-0.0003961407598009226,Trajectory-1,5.0,0.0,0.0
Gimap4,-0.02570237270167453,0.07714909175470318,-0.0023997014635201023,0.009761611514715544,0.01162495979580285,Trajectory-3,0.0,0.0,27.0
Gimap6,-0.026481291439984646,0.07965629123950681,-0.002498086656651174,0.011109750033198262,0.013788916435867483,Trajectory-3,0.0,0.0,28.0
Gja4,-0.008460700172761041,0.023641875090428102,-0.000320525835733147,-0.009705012181960496,-0.013864587851625382,Trajectory-3,0.0,0.0,5.0
Gm10824,0.0010381642616261147,-0.0006917448255905743,0.0006351636471402638,0.0008237875354712986,-0.003978572366265507,Other,0.0,0.0,0.0
Gm11747,0.0010354619190250625,-0.0006916898079755173,0.0008430164287629378,0.000512921356976119,-0.00207468927000799,Other,0.0,0.0,0.0
Gm12280,0.001050792275401469,-0.0006547909644824227,0.0008770779136118531,0.0012689108644631198,0.00038780989252123815,Other,0.0,0.0,0.0
Gm13169,0.0011570133241753165,-0.0007784206594710953,0.0008401759953404476,0.0022140452324508615,0.0005677606032420595,Other,0.0,0.0,0.0
Gm13889,-0.006179889348607187,0.01806873246478497,-0.00010423129145297421,-0.008211797848313928,-0.012731385443526512,Trajectory-3,0.0,0.0,4.0
Gm14056,0.0014010355286566782,-0.000953578661920493,0.001427469612135194,0.009529871254461642,0.01721133182823823,Other,0.0,0.0,0.0
Gm15697,0.0009975828438294424,-0.0005347257917235907,0.000834437271512706,0.0007086395902273455,-0.0007120032335363194,Other,0.0,0.0,0.0
Gm15915,-0.012374718916417884,-0.0020713985340457216,-7.276070625045044e-05,-0.0076034782865427395,-0.001498912541844916,Trajectory-1,6.0,0.0,0.0
Gm16675,0.0011685106693077687,-0.0008124234339849373,0.0011118063679603283,0.004016043211862029,0.004181781159441099,Other,0.0,0.0,0.0
Gm17177,0.001446440721050703,-0.000990914479279702,0.0014898849953080663,0.011213055708686243,0.0205350910917927,Other,0.0,0.0,0.0
Gm17226,0.0011818039717246258,-0.0007893108430370247,0.0010391486679642427,0.002965729995869126,0.0013849653896195774,Other,0.0,0.0,0.0
Gm26748,0.0010027594700529184,-0.000643620108707285,0.000879724161075035,0.0005104539994442185,-0.0012086051287930235,Other,0.0,0.0,0.0
Gm26777,0.0009738483738752345,-0.0006549685159699909,0.0009586136577842229,-0.0017424944524617816,0.0005295414507326373,Other,0.0,0.0,0.0
Gm26909,0.001031781015540993,-0.0007550892475449095,0.0010601384710161104,0.003118569433088172,0.0016065056816831971,Other,0.0,0.0,0.0
Gm28196,0.0009187435390482561,-0.0005762113462060519,0.0005866919749165816,-0.0003442767374221378,-0.003576874204398773,Other,0.0,0.0,0.0
Gm34397,0.0013668369888901882,-0.0009286692704529257,0.0013625121558729235,0.008215579477418388,0.012904556803625736,Other,0.0,0.0,0.0
Gm37027,0.001438316094308722,-0.000981240365508063,0.0014671884156028721,0.010622597758050769,0.018945413937643055,Other,0.0,0.0,0.0
Gm37811,0.0014696878512438694,-0.0010045707673524663,0.0015164484510135107,0.01176596715349946,0.021965626906373412,Other,0.0,0.0,0.0
Gm38103,0.0009297249352722155,-0.0006075522232966172,0.0007378786180041748,-0.000989854089431322,-0.002132748773146909,Other,0.0,0.0,0.0
Gm38132,0.00116460458186065,-0.0007861746039781243,0.0010222891307466342,0.0025169319621468986,-0.0005448243222195924,Other,0.0,0.0,0.0
Gm40614,0.001379966206278837,-0.0009381573771752585,0.0014019858873945926,0.008895287775460243,0.015905877723585433,Other,0.0,0.0,0.0
Gm43118,-0.0004524027587081805,-0.0008494838356520705,0.00046830962901577185,-0.0007457343400744729,-0.00034485208996358024,Other,0.0,0.0,0.0
Gm43682,0.000601820015461262,-0.0005500774388097421,0.00022472606027075642,-0.0012704723175846022,-0.0017415740314074772,Other,0.0,0.0,0.0
Gm45833,0.0010154580710286952,-0.0006877514087063688,0.0008634246017708691,0.0009465012558394052,-0.0009891693687768077,Other,0.0,0.0,0.0
Gm46367,0.0011224550036948084,-0.0007455913059102665,0.0009909475623595297,0.0016931639567284945,0.0020524614307875135,Other,0.0,0.0,0.0
Gm47430,0.001209178897859763,-0.0008018447088984165,0.001179260626523039,0.00426142057745512,0.007562970606130434,Other,0.0,0.0,0.0
Gm47525,0.0011903292590232028,-0.0008028197667346436,0.0010810163422584906,0.0030450659507465115,0.0019665429141824784,Other,0.0,0.0,0.0
Gm48377,0.0008796746666127151,-0.0005944787076519409,0.0009125986162418736,-0.0012332667686212882,-0.0016436924625608802,Other,0.0,0.0,0.0
Gm48708,0.0014351612091932284,-0.0009792345432150672,0.0014653740340043822,0.010609069645679248,0.01887663512544394,Other,0.0,0.0,0.0
Gm805,0.001286704675656204,-0.0008688274746283454,0.0012419660414220459,0.005741361943410364,0.007425680386926828,Other,0.0,0.0,0.0
Gng11,9.29014220015197e-05,0.0012917090126613857,0.0005102425790617183,-0.003063369623790251,-0.005056765474269989,Other,0.0,0.0,0.0
Gp1bb,-4.297483180554479e-05,0.0001532926088347159,0.0002880913808438474,-0.004729683566912435,-0.002311926037959922,Other,0.0,0.0,0.0
Gp9,-0.08554884219858841,-0.030031472657252537,7.504063822823197e-05,0.003657066252868775,0.0009841146971705024,Trajectory-1,16.0,0.0,0.0
Gpr182,-0.019395605001833807,0.0575426487110754,-0.0016114430399440465,3.850537069329355e-06,-0.0036951476177549286,Trajectory-3,0.0,0.0,16.0
Gpx2,0.0010310674598947437,-0.0006752694887383578,0.000949975844718757,0.0005236024698048775,-0.00045259720968729254,Other,0.0,0.0,0.0
Gpx3,0.0010240264243362577,-0.0006519355762096446,0.0008118941326179097,0.0013053179276425555,-0.002263236658421925,Other,0.0,0.0,0.0
Grap,-0.014539134670348335,0.04238701270530571,-0.0010217959534778865,-0.005646613494899694,-0.010840305564338,Trajectory-3,0.0,0.0,12.0
Grsf1,0.0010566386544299717,-0.0007424217784234218,0.0009984443764407922,0.002577683568687386,-0.00020605096460102375,Other,0.0,0.0,0.0
Gsc,0.001305853688878311,-0.0008827456742120858,0.0012791266135382651,0.0062901368502492495,0.008518357253914246,Other,0.0,0.0,0.0
Gsg1l,0.0010459908731490037,-0.0006918183230901852,0.0007585882449945756,0.0006193070172689235,-0.002773618855790402,Other,0.0,0.0,0.0
Gsn,0.0010013083032059807,-0.0006618907822105325,0.000966196749501854,0.0006164696856930824,-0.0012685466530748997,Other,0.0,0.0,0.0
Gypa,-0.0932856028678575,-0.032889859767579306,8.552183897134914e-05,0.005667499090939282,0.0018752359645416038,Trajectory-1,19.0,0.0,0.0
Gzmm,0.0006161595917358013,-0.0004093265342537609,0.0008842989686420945,-0.008194594692014855,0.002588055645872482,Other,0.0,0.0,0.0
Hand1,0.0010237877399474904,-0.0006687782375339224,0.0006726003401016657,0.0008659315081193251,-0.003752516199570429,Other,0.0,0.0,0.0
Hapln1,0.0001970706210409656,0.000711257382122713,0.0004597247669621826,-0.0030826500615011598,-0.005328268834159457,Other,0.0,0.0,0.0
Hba-a1,-0.08362630641978938,-0.0293543044102555,7.171532844439385e-05,0.0031780883874960083,0.0006996301700446107,Trajectory-1,14.0,0.0,0.0
Hba-a2,-0.09216343642571972,-0.03248565287089131,8.414810316544287e-05,0.005363144210162794,0.0017111531464673213,Trajectory-1,17.0,0.0,0.0
Hba-x,-0.05412442296951817,-0.018637584085406948,5.199875466437739e-05,-0.001648805739704662,-0.001230675268867662,Trajectory-1,9.0,0.0,0.0
Hbb-bh1,-0.018846104345044617,-0.006166354822231403,5.906481185411361e-05,-0.004369116417660525,-0.0021875050790925938,Trajectory-1,7.0,0.0,0.0
