dataset,variant,seed,coherence,coverage,strength,n_sig
dentategyrus,PRISM_opt0,2,0.3623420294110843,0.6918121094591683,3.841514078858302,116
dentategyrus,PRISM_opt0,3,0.3629802576012893,0.6852187028657617,3.839148603157574,115
dentategyrus,PRISM_opt0,4,0.3642903677436909,0.7967679379444085,4.088116666630232,111
dentategyrus,PRISM_opt0,5,0.3533877594297057,0.6777553329023916,3.580411015087564,115
dentategyrus,PRISM_opt0,6,0.3466123704487381,0.6590648567119155,3.216277529650019,103
dentategyrus,PRISM_opt0,7,0.3642840677143324,0.8406162464985995,3.711132312333549,127
dentategyrus,PRISM_opt0,8,0.3682365263497554,0.6405982905982907,2.839977174485945,218
dentategyrus,PRISM_opt0,9,0.364072179058928,0.738655462184874,3.559997746853621,120
dentategyrus,PRISM_opt10,0,0.3431123852157374,0.6909340659340659,3.913727924114856,104
dentategyrus,PRISM_opt10,1,0.3747263799270642,0.8192056309703368,3.344451199696146,150
dentategyrus,PRISM_opt10,2,0.341424348890268,0.728434065934066,3.33265157237692,127
dentategyrus,PRISM_opt10,3,0.3405700360143987,0.6909340659340659,3.911576196952864,105
dentategyrus,PRISM_opt10,4,0.3487264982323214,0.7154788838612368,3.869974597770832,107
dentategyrus,PRISM_opt10,5,0.341424348890268,0.728434065934066,3.3326515723769203,127
dentategyrus,PRISM_opt10,6,0.3335352544324969,0.7632211538461539,3.811382131779737,94
dentategyrus,PRISM_opt10,7,0.3411963678655452,0.7459760827407886,3.1205652771589225,130
dentategyrus,PRISM_opt10,8,0.3767494920973274,0.7994658119658119,3.214721102969161,150
dentategyrus,PRISM_opt10,9,0.3461841490309827,0.7154788838612368,3.86782287060884,108
dentategyrus,MALLET_opt0,0,0.3429729311112672,0.6164915966386555,3.478719728122724,97
dentategyrus,MALLET_opt0,1,0.3803470976822415,0.66355580693816,3.135450356312528,200
dentategyrus,MALLET_opt0,2,0.346629813583286,0.6164915966386555,3.717261800020881,97
dentategyrus,MALLET_opt0,3,0.3464247534104991,0.7147511312217195,3.6229050749931,113
dentategyrus,MALLET_opt0,4,0.3642903677436909,0.7967679379444086,4.088116666630232,111
dentategyrus,MALLET_opt0,5,0.3556521011692881,0.7692469295410471,3.994237602832,110
dentategyrus,MALLET_opt0,6,0.364174339771365,0.6192460317460318,2.7658154699775297,199
dentategyrus,MALLET_opt0,7,0.3438834761900717,0.6912217194570136,3.483892415465088,111
dentategyrus,MALLET_opt0,8,0.3756631139070715,0.6153654970760234,3.3825346890707686,123
dentategyrus,MALLET_opt0,9,0.3628565563263782,0.7815126050420168,3.603869011455621,119
dentategyrus,MALLET_opt10,0,0.3373859557173776,0.7700892857142857,3.810999157173683,98
dentategyrus,MALLET_opt10,1,0.3776745395915459,0.7156422825540473,4.186207707524964,111
dentategyrus,MALLET_opt10,2,0.3325515289361846,0.7632211538461539,3.814071790732227,93
dentategyrus,MALLET_opt10,3,0.3281728794137877,0.6339102564102564,3.423798865872668,94
dentategyrus,MALLET_opt10,4,0.3487264982323213,0.7154788838612369,3.869974597770832,107
dentategyrus,MALLET_opt10,5,0.3349543861812984,0.7159340659340659,3.310953238562072,127
dentategyrus,MALLET_opt10,6,0.3795006331611327,0.786965811965812,3.169522023838022,154
dentategyrus,MALLET_opt10,7,0.3290271922896571,0.6714102564102564,2.8448742412967247,116
dentategyrus,MALLET_opt10,8,0.3755208612359694,0.7156422825540473,4.196250559058712,112
dentategyrus,MALLET_opt10,9,0.3461841490309827,0.7154788838612368,3.86782287060884,108
dentategyrus,NMF,0,0.3732269195635444,0.8261437908496732,5.408065471384754,121
dentategyrus,NMF,1,0.3732269195635444,0.8261437908496732,5.408065471384754,121
dentategyrus,NMF,2,0.3732269195635444,0.8261437908496732,5.408065471384754,121
dentategyrus,NMF,3,0.3732269195635444,0.8261437908496732,5.408065471384754,121
dentategyrus,NMF,4,0.3732269195635444,0.8261437908496732,5.408065471384754,121
dentategyrus,NMF,5,0.3732269195635444,0.8261437908496732,5.408065471384754,121
dentategyrus,NMF,6,0.3732269195635444,0.8261437908496732,5.408065471384754,121
dentategyrus,NMF,7,0.3732269195635444,0.8261437908496732,5.408065471384754,121
dentategyrus,NMF,8,0.3732269195635444,0.8261437908496732,5.408065471384754,121
dentategyrus,NMF,9,0.3732269195635444,0.8261437908496732,5.408065471384754,121
dentategyrus,cNMF,0,0.4237461704446691,0.6773897058823529,1.66882545738959,101
dentategyrus,cNMF,1,0.4230715014759025,0.6452614379084967,1.782142039200497,115
dentategyrus,cNMF,2,0.4237461704446691,0.6773897058823529,1.66882545738959,101
dentategyrus,cNMF,3,0.4237461704446691,0.6773897058823529,1.66882545738959,101
dentategyrus,cNMF,4,0.4237461704446691,0.6773897058823529,1.66882545738959,101
